time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,154	0,004	0,157
0,1	0,425	0,020	0,315
0,2	0,713	0,728	0,000
0,3	0,901	0,138	0,157
0,4	0,927	-1,012	0,157
0,5	0,819	-0,201	0,157
0,6	0,661	0,185	0,157
0,7	0,528	0,532	0,157
0,8	0,442	0,500	0,157
0,9	0,386	0,004	0,157
1,0	0,341	-0,232	0,157
1,1	0,312	0,154	0,157
1,2	0,316	0,130	0,157
1,3	0,351	-0,390	0,157
1,4	0,386	-0,224	0,157
1,5	0,374	0,240	0,157
1,6	0,300	0,217	0,157
1,7	0,186	-0,083	0,157
1,8	0,083	-0,098	0,157
1,9	0,025	0,004	0,157
2,0	0,015	-0,004	0,157
2,1	0,027	-0,020	0,157
2,2	0,036	0,012	0,157
2,3	0,032	0,028	0,157
2,4	0,024	0,020	0,157
2,5	0,023	0,004	0,157
2,6	0,029	-0,027	0,157
2,7	0,034	-0,020	0,157
2,8	0,031	0,012	0,157
2,9	0,020	0,020	0,000
3,0	0,009	0,004	0,000
3,1	0,004	-0,004	0,000
3,2	0,006	0,004	0,000
3,3	0,009	0,004	0,157
3,4	0,009	0,004	0,157
3,5	0,007	0,004	0,157
3,6	0,005	0,004	0,157
3,7	0,006	0,004	0,157
3,8	0,008	0,004	0,157
3,9	0,009	-0,004	0,157
4,0	0,007	0,004	0,157
4,1	0,005	0,004	0,157
4,2	0,004	0,004	0,157
4,3	0,004	0,004	0,157
4,4	0,007	0,004	0,157
4,5	0,008	0,004	0,157
4,6	0,008	0,004	0,157
4,7	0,007	0,004	0,157
4,8	0,007	0,004	0,157
4,9	0,006	-0,004	0,157
5,0	0,006	0,004	0,157
5,1	0,006	0,004	0,157
5,2	0,006	0,004	0,157
5,3	0,006	0,004	0,157
5,4	0,007	0,004	0,157
5,5	0,008	0,004	0,157
5,6	0,007	-0,004	0,157
5,7	0,006	0,004	0,000
5,8	0,006	0,004	0,000
5,9	0,006	0,004	0,157
6,0	0,007	0,004	0,157
6,1	0,008	0,004	0,315
6,2	0,008	-0,004	2,362
6,3	0,007	0,004	4,724
6,4	0,006	0,004	6,457
6,5	0,006	0,004	7,559
6,6	0,007	0,004	8,189
6,7	0,009	0,004	8,661
6,8	0,009	0,004	8,819
6,9	0,008	-0,004	8,976
7,0	0,007	0,004	8,976
7,1	0,007	0,004	9,134
7,2	0,008	-0,004	9,134
7,3	0,009	0,004	9,134
7,4	0,008	0,004	9,134
7,5	0,007	-0,004	9,291
7,6	0,006	-0,004	9,291
7,7	0,006	0,004	9,134
7,8	0,006	0,004	9,291
