f; A1; A2; a; b;
0.2627; 4.4; 0.2400; 0.0350; 0.2550;
3.085; 4.2; 0.1100; 0.0300; 0.1800;
6; 4.2; 0.0600; 0.0240; 0.0680;
9; 4.2; 0.0480; 0.0180; 0.070;
12; 4.2; 0.0360; 0.0120; 0.0460;
15; 4.2; 0.0260; 0.0100; 0.0380;
18; 4.2; 0.0220; 0.0100; 0.0240;
21; 4.2; 0.0180; 0.0080; 0.0260;
24; 4.2; 0.0150; 0.0070; 0.0230;
27; 4.2; 0.0130; 0.0060; 0.0210;
30; 4.2; 0.0110; 0.0050; 0.0190;
33; 4.2; 0.0100; 0.0050; 0.0165;
36; 4.2; 0.0085; 0.0050; 0.0150;
39; 4.2; 0.0075; 0.0045; 0.0114;
42; 4.2; 0.0070; 0.0040; 0.0135;
45; 4.2; 0.0060; 0.0040; 0.0120;
48; 4.2; 0.0060; 0.0035; 0.0115;
51; 4.2; 0.0050; 0.0030; 0.0110;
54; 4.2; 0.0050; 0.0030; 0.0100;
57; 4.2; 0.0045; 0.0030; 0.0100;
60; 4.2; 0.0040; 0.0025; 0.0095;
